line,stanza,lyric
33,8,"сама скажу себе ""будь сильной всегда"""
34,8,будь сильной и за мечтой иди
35,8,и не сдавайся
36,9,x
37,9,x
38,9,x
39,9,x
40,10,ты не поймешь меня я другая 
41,10,и не похожа ни на кого совсем 
42,10,отставь свои стандарты подальше 
43,10,"мне нравится собой быть такой, как есть "
44,11,люблю себя
45,11,x
46,11,x
47,11,x
48,11,x
1,1,"People look at me, and they tell me"
2,1,외모만 보고 내가 날라리 같대요
3,1,So what? 신경 안 써 I’m sorry
4,1,"I don’t care, don’t care, really don’t care, because"
5,2,사랑 따위에 목매지 않아
6,2,세상엔 재밌는 게 더 많아
7,2,언니들이 말해 철들려면 멀었대
8,2,I’m sorry sorry 철들 생각 없어요 Nope
9,3,예쁘기만 하고 매력은 없는
10,3,애들과 난 달라 달라 달라
11,3,니 기준에 날 맞추려 하지 마
12,3,난 지금 내가 좋아 나는 나야
13,4,I love myself
14,4,난 뭔가 달라 달라 Yeah
15,4,I love myself
16,4,난 뭔가 달라 달라 Yeah
17,4,난 너랑 달라 달라 Yeah
18,5,"Bad, bad, I’m sorry I’m bad"
19,5,I’m just the way I am
20,5,남 신경 쓰고 살긴 아까워
21,5,하고 싶은 일 하기도 바빠
22,5,My life 내 맘대로 살 거야 말리지 마
23,5,난 특별하니까 Yeah
24,6,남들의 시선 중요치 않아
25,6,내 Style이 좋아 그게 나니까
26,6,언니들이 말해 내가 너무 당돌하대
27,6,I’m sorry sorry 바꿀 생각 없어요 Nope
28,7,예쁘기만 하고 매력은 없는
29,7,애들과 난 달라 달라 달라
30,7,니 기준에 날 맞추려 하지 마
31,7,난 지금 내가 좋아 나는 나야
32,8,Don’t care what people say 나는 내가 알아
33,8,I’m talking to myself 기죽지 마 절대로
34,8,고갤 들고 니 꿈을 쫓아
35,8,Just keep on dreaming
36,9,"Keep your chin up, we got your back"
37,9,"Keep your head up, just keep on dreaming"
38,9,"Keep your chin up, we got your back"
39,9,"Keep your head up, just keep on dreaming (Everybody)"
40,10,예쁘기만 하고 매력은 없는
41,10,애들과 난 달라 달라 달라
42,10,니 기준에 날 맞추려 하지 마
43,10,난 지금 내가 좋아 나는 나야
44,11,I love myself
45,11,난 뭔가 달라 달라 Yeah
46,11,I love myself
47,11,난 뭔가 달라 달라 Yeah
48,11,난 너랑 달라 달라 Yeah
1,1,Todos dicen qué cuando me ven
2,1,Soy muy rebelde porque miran como visto
3,1,¿Y qué? me da igual
4,1,Lo siento pues no me importa no me importa
5,2,"No me interesa, el amor da igual"
6,2,"El mundo es grande, quiero disfrutar"
7,2,Mis 언니s dicen que aún yo tengo que madurar
8,2,"I´m so, sorry y yo no quiero hacerlo"
9,3,Bonita soy y no muy atractiva
10,3,soy muy diferente a los demás
11,3,y no me juzgues según tus ideales
12,3,amo ser yo misma y nadie más
13,4,me amo así
14,4,soy algo diferente yeah
15,4,me amo así
